SIGLA_ORGAO;ORGAO_SELECIONADO;ORGAO_SUPERIOR
ASDA;Assessoria de Análise de Dados - ASDA;Secretaria Adjunta de Dados, Inovação e Fiscalização - SEADIF
ASINT;ASSESSORIA DE INOVAÇÃO E INTELIGÊNCIA ARTIFICIAL - ASINT;Secretaria Adjunta de Dados, Inovação e Fiscalização - SEADIF
DIFTI;Divisão de Fiscalização de Tecnologia da Informação - DIFTI;Secretaria Adjunta de Dados, Inovação e Fiscalização - SEADIF
ASTEC;Assessoria Técnica de Estudos - ASTEC;Secretaria Adjunta de Recursos e Estudos - SEARES
DIREC;Divisão de Análise de Recursos - DIREC;Secretaria Adjunta de Recursos e Estudos - SEARES
DIACOMP1;Primeira Divisão de Acompanhamento - DIACOMP1;Secretaria de Acompanhamento - SEACOMP
DIACOMP2;Segunda Divisão de Acompanhamento - DIACOMP2;Secretaria de Acompanhamento - SEACOMP
DIACOMP3;Terceira Divisão de Acompanhamento - DIACOMP3;Secretaria de Acompanhamento - SEACOMP
DIACOMP4;Quarta Divisão de Acompanhamento - DIACOMP4;Secretaria de Acompanhamento - SEACOMP
CAD;Coordenadoria de Análise de Dados - CAD;Secretaria de Auditoria - SEAUD
DIAUD1;Primeira Divisão de Auditoria - DIAUD1;Secretaria de Auditoria - SEAUD
DIAUD2;Segunda Divisão de Auditoria - DIAUD2;Secretaria de Auditoria - SEAUD
DIAUD3;Terceira Divisão de Auditoria - DIAUD3;Secretaria de Auditoria - SEAUD
DIAUD4;Quarta Divisão de Auditoria - DIAUD4;Secretaria de Auditoria - SEAUD
CADEM;Coordenadoria de Acompanhamento de Débitos e Multas - CADEM;Secretaria de Contas - SECONT
DICONT1;1ª Divisão de Contas - DICONT1;Secretaria de Contas - SECONT
DICONT2;2ª Divisão de Contas - DICONT2;Secretaria de Contas - SECONT
DICONT3;3ª Divisão de Contas - DICONT3;Secretaria de Contas - SECONT
CEAT;Coordenadoria de Estudos e Análises Tecnológicas - CEAT;Secretaria de Fiscalização de Infraestrutura - SEINFRA
DIFID;Divisão de Fiscalização de Projetos de Desestatização - DIFID;Secretaria de Fiscalização de Infraestrutura - SEINFRA
DIFO1;Primeira Divisão de Fiscalização de Obras e Serviços de Engenharia - DIFO1;Secretaria de Fiscalização de Infraestrutura - SEINFRA
DIFO2;Segunda Divisão de Fiscalização de Obras e Serviços de Engenharia - DIFO2;Secretaria de Fiscalização de Infraestrutura - SEINFRA
DIFIPE1;Primeira Divisão de Fiscalização de Pessoal - DIFIPE1;Secretaria de Fiscalização de Pessoal - SEFIPE
DIFIPE2;Segunda Divisão de Fiscalização de Pessoal - DIFIPE2;Secretaria de Fiscalização de Pessoal - SEFIPE
DIFIPE3;Terceira Divisão de Fiscalização de Pessoal - DIFIPE3;Secretaria de Fiscalização de Pessoal - SEFIPE
DIAFI;Divisão de Auditoria Financeira e de Programas - DIAFI;Secretaria de Macroavaliação da Gestão Pública - SEMAG
DIAGF;Divisão de Acompanhamento da Gestão Fiscal - DIAGF;Secretaria de Macroavaliação da Gestão Pública - SEMAG
DIAPP;Divisão de Avaliação de Políticas Públicas - DIAPP;Secretaria de Macroavaliação da Gestão Pública - SEMAG
DIAPREX;Divisão de Auditoria de Programas e de Recursos Externos - DIAPREX;Secretaria de Macroavaliação da Gestão Pública - SEMAG
DICOG;Divisão de Contas do Governo - DICOG;Secretaria de Macroavaliação da Gestão Pública - SEMAG
