"ID","fk","DESCORGAO","IDORGAO","IDSUBORDINADOR","NIVEL","Subordinada","Unidade","Título","DESCORGAO_SUBORDINADOR"
"122825","269.269","Secretaria das Sessões","269","269","4","SS/GAB","SS/GAB","269.269","Secretaria das Sessões"
"122826","254.1007","Controle de Veículos","1.007","254","1","Controle de Veí","SETRA","254.1007","Serviço de Transportes"
"122827","682.996","Portaria SEDE","996","682","3","Portaria SEDE","SGA","682.996","Supervisão de Sistemas de Informação, Legislação e Jurisprudência"
"122828","678.1039","Secretaria Adjunta de Recursos e Estudos","1.039","678","2","SEARES","PRESIDÊNCIA","678.1039","Presidência"
"122829","682.966","Copa 2º Andar SEDE","966","682","3","Copa 2º Andar S","SGA","682.966","Supervisão de Sistemas de Informação, Legislação e Jurisprudência"
"122830","678.1041","Divisão de Análise de Recursos","1.041","678","3","DIREC","PRESIDÊNCIA","678.1041","Presidência"
"122831","682.986","Entrada Garagem Subsolo","986","682","3","Garagem","SGA","682.986","Supervisão de Sistemas de Informação, Legislação e Jurisprudência"
"122832","503.1038","Assessoria de Planejamento e Gestão Estratégica","1.038","503","1","ASPLAN","SEGECEX","503.1038","Secretaria-Geral de Controle Externo"
"122833","503.1041","Divisão de Análise de Recursos","1.041","503","2","DIREC","SEGECEX","503.1041","Secretaria-Geral de Controle Externo"
"122834","671.951","COORDENADORIA DE FISCALIZAÇÃO REMOTA","951","671","1","COFIR","DIFIPE1","671.951","Primeira Divisão de Fiscalização de Pessoal"
"122835","503.1040","Assessoria Técnica de Estudos","1.040","503","2","ASTEC","SEGECEX","503.1040","Secretaria-Geral de Controle Externo"
"122836","682.980","Mensageria","980","682","3","MENSAGERIA","SGA","682.980","Supervisão de Sistemas de Informação, Legislação e Jurisprudência"
"122837","237.547","Supervisão de Planejamento da Contratação","547","237","1","SPC","SELIC","237.547","Serviço de Licitação "
"122838","246.246","Serviço de Patrimônio","246","246","4","SEPAT","SEPAT","246.246","Serviço de Patrimônio"
"122839","503.951","COORDENADORIA DE FISCALIZAÇÃO REMOTA","951","503","3","COFIR","SEGECEX","503.951","Secretaria-Geral de Controle Externo"
"122840","682.984","Recepção Hall Elevadores 1° Andar SEDE","984","682","3","Recepção Hall E","SGA","682.984","Supervisão de Sistemas de Informação, Legislação e Jurisprudência"
